ACSSF,AL,040,00,0000001,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04000US01,"Alabama",,,
ACSSF,AL,040,01,0000002,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,04001US01,"Alabama -- Urban",,,
ACSSF,AL,040,43,0000003,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,04043US01,"Alabama -- Rural",,,
ACSSF,AL,040,A0,0000004,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US01,"Alabama -- In metropolitan or micropolitan statistical area",,,
ACSSF,AL,040,C0,0000005,,,,,01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C0US01,"Alabama -- In metropolitan statistical area",,,
ACSSF,AL,040,C1,0000006,,,,,01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Y,,,,,040C1US01,"Alabama -- In metropolitan statistical area -- in principal city",,,
ACSSF,AL,040,C2,0000007,,,,,01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C2US01,"Alabama -- In metropolitan statistical area -- not in principal city",,,
ACSSF,AL,040,E0,0000008,,,,,01,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E0US01,"Alabama -- In micropolitan statistical area",,,
ACSSF,AL,040,E1,0000009,,,,,01,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Y,,,,,040E1US01,"Alabama -- In micropolitan statistical area -- in principal city",,,
ACSSF,AL,040,E2,0000010,,,,,01,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E2US01,"Alabama -- In micropolitan statistical area -- not in principal city",,,
ACSSF,AL,040,G0,0000011,,,,,01,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,040G0US01,"Alabama -- Not in metropolitan or micropolitan statistical area",,,
ACSSF,AL,040,H0,0000012,,,,,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040H0US01,"Alabama -- Not in metropolitan statistical area",,,
ACSSF,AL,050,00,0000013,,,,,01,003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,"Baldwin County, Alabama",,,
